Begin Time - hh:mm:ss.ms	Begin Time - ss.msec	End Time - hh:mm:ss.ms	End Time - ss.msec	Duration - hh:mm:ss.ms	Duration - ss.msec	Ms1 Seite Ms.2	Ms1 Seite Ms.1	Glosse	R Reim	Tg1a Kapitel	Lemma	M2c Flexion Beleg 2	S2 Stammbaum	Tg2b Halbvers	Standard W	M1a DDDTS Lemma	Ms1 Seite Ms.3	S1a Satz	Sprache	Übersetzung	Tg3a Capitulum	M2b Flexion Beleg 1	Ms2 Zeile Ms.2	Ms2 Zeile Ms.1	Ts1 Seite Ed.2	Ts1 Seite Ed.1	Tg Kommentar	Ts1 Seite Ed.3	R Kommentar	Tg1b Unterkapitel	S1b Hierarchie	Referenz	Ms2 Zeile Ms.3	Tg3b Section	Ts2 Zeile Ed.1	Referenztext R	Manuskript W	Ts2 Zeile Ed.2	Ts2 Zeile Ed.3	Tg3c Canon	M1b DDDTS Beleg	M2a Flexion Lemma	Referenztext W	Manuskript R	Lemmanachweis	Tg2a Vers	Identifizierer	File Path
00:02:03.600	123.6	00:02:12.200	132.2	00:00:08.600	8.6	G64vb	D52r											CF							591	189																						file:///media/vbspace/ddd/data/NotkerKleinere/N_PartLog/2_corrections/N_Part_Log.eaf
00:02:12.200	132.2	00:02:17.200	137.2	00:00:05.000	5.0	G64vb	D52r											CF						5	591	189																						file:///media/vbspace/ddd/data/NotkerKleinere/N_PartLog/2_corrections/N_Part_Log.eaf
00:02:17.600	137.6	00:02:26.000	146.0	00:00:08.400	8.4	G64vb	D52r											CF							591	189																						file:///media/vbspace/ddd/data/NotkerKleinere/N_PartLog/2_corrections/N_Part_Log.eaf
00:02:26.400	146.4	00:02:27.800	147.8	00:00:01.400	1.4	G64vb	D52r											CE						6	591	189																						file:///media/vbspace/ddd/data/NotkerKleinere/N_PartLog/2_corrections/N_Part_Log.eaf
00:02:27.800	147.8	00:02:33.400	153.4	00:00:05.600	5.6	G64vb	D52r											CF							591	189																						file:///media/vbspace/ddd/data/NotkerKleinere/N_PartLog/2_corrections/N_Part_Log.eaf
00:02:33.800	153.8	00:02:37.600	157.6	00:00:03.800	3.8	G64vb	D52r											CE_CS						7	591	189																						file:///media/vbspace/ddd/data/NotkerKleinere/N_PartLog/2_corrections/N_Part_Log.eaf
00:02:38.000	158.0	00:02:41.600	161.6	00:00:03.600	3.6	G64vb	D52r											CF						7	591	189																						file:///media/vbspace/ddd/data/NotkerKleinere/N_PartLog/2_corrections/N_Part_Log.eaf
00:02:42.000	162.0	00:02:47.400	167.4	00:00:05.400	5.4	G64vb	D52r											CI							591	189																						file:///media/vbspace/ddd/data/NotkerKleinere/N_PartLog/2_corrections/N_Part_Log.eaf
00:02:47.800	167.8	00:02:48.400	168.4	00:00:00.600	0.6	G64vb	D52r				et				et	KO		CE_CC	lat	und				8	591	189						G64vb::1220					et				KON		et				G64vb::1220	file:///media/vbspace/ddd/data/NotkerKleinere/N_PartLog/2_corrections/N_Part_Log.eaf
00:02:48.400	168.4	00:02:53.200	173.2	00:00:04.800	4.8	G64vb	D52r											CE_CS						8	591	189																						file:///media/vbspace/ddd/data/NotkerKleinere/N_PartLog/2_corrections/N_Part_Log.eaf
00:02:53.600	173.6	00:02:58.000	178.0	00:00:04.400	4.4	G64vb	D52r											CI						8	591	189																						file:///media/vbspace/ddd/data/NotkerKleinere/N_PartLog/2_corrections/N_Part_Log.eaf
00:02:58.200	178.2	00:02:58.800	178.8	00:00:00.600	0.6	G64vb	D52r				et				et	KO		CE_CC	lat	und				9	591	189						G64vb::1320					Et				KON		Et				G64vb::1320	file:///media/vbspace/ddd/data/NotkerKleinere/N_PartLog/2_corrections/N_Part_Log.eaf
00:02:58.800	178.8	00:03:05.800	185.8	00:00:07.000	7.0	G64vb	D52r											CE						9	591	189																						file:///media/vbspace/ddd/data/NotkerKleinere/N_PartLog/2_corrections/N_Part_Log.eaf
00:03:06.200	186.2	00:03:12.600	192.6	00:00:06.400	6.4	G64vb	D52r											CI							591	189																						file:///media/vbspace/ddd/data/NotkerKleinere/N_PartLog/2_corrections/N_Part_Log.eaf
00:03:13.000	193.0	00:03:15.400	195.4	00:00:02.400	2.4	G64vb	D52r											CF						10	591	189																						file:///media/vbspace/ddd/data/NotkerKleinere/N_PartLog/2_corrections/N_Part_Log.eaf
00:03:15.400	195.4	00:03:18.800	198.8	00:00:03.400	3.4	G64vb	D52r											CF						10	591	189																						file:///media/vbspace/ddd/data/NotkerKleinere/N_PartLog/2_corrections/N_Part_Log.eaf
00:03:19.200	199.2	00:03:24.400	204.4	00:00:05.200	5.2	G64vb	D52r											CI								189																						file:///media/vbspace/ddd/data/NotkerKleinere/N_PartLog/2_corrections/N_Part_Log.eaf
00:03:24.800	204.8	00:03:30.000	210.0	00:00:05.200	5.2	G64vb	D52r											CF						11	592	189																						file:///media/vbspace/ddd/data/NotkerKleinere/N_PartLog/2_corrections/N_Part_Log.eaf
00:03:30.400	210.4	00:03:36.000	216.0	00:00:05.600	5.6	G64vb	D52r											CF						11	592	189																						file:///media/vbspace/ddd/data/NotkerKleinere/N_PartLog/2_corrections/N_Part_Log.eaf
00:03:36.200	216.2	00:03:41.600	221.6	00:00:05.400	5.4	G64vb	D52r											CF						12	592	189																						file:///media/vbspace/ddd/data/NotkerKleinere/N_PartLog/2_corrections/N_Part_Log.eaf
