Begin Time - hh:mm:ss.ms	Begin Time - ss.msec	End Time - hh:mm:ss.ms	End Time - ss.msec	Duration - hh:mm:ss.ms	Duration - ss.msec	R Reim	Tg1a Kapitel	Ms1 Seite	Lemma	M2c Flexion Beleg 2	S2 Stammbaum	Ms2 Zeile	Tg2b Halbvers	M1a DDDTS Lemma	Standard W	S1a Satz	Sprache	Übersetzung	M2b Flexion Beleg 1	Ts1 Seite Ed.2	Ts1 Seite Ed.1	Tg Kommentar	Ts1 Seite Ed.3	R Kommentar	Tg1b Unterkapitel	S1b Hierarchie	Referenz	Ts2 Zeile Ed.1	Referenztext R	Manuskript W	Ts2 Zeile Ed.2	Ts2 Zeile Ed.3	M1b DDDTS Beleg	M2a Flexion Lemma	Referenztext W	Manuskript R	Tg2a Vers	Identifizierer	File Path
00:09:34.600	574.6	00:09:36.600	576.6	00:00:02.000	2.0				quëdan					VV	quëdenti	CP	goh	sagen, sprechen, reden	st5											qhuuedenti			VVPS	st5	qhuuedenti			407	file:///media/vbspace/ddd/data/BenediktinerRegel/10_corrections/B_0.eaf
00:09:37.000	577.0	00:09:42.800	582.8	00:00:05.800	5.8											CF																							file:///media/vbspace/ddd/data/BenediktinerRegel/10_corrections/B_0.eaf
00:09:42.800	582.8	00:09:44.600	584.6	00:00:01.800	1.8				quëdan					VV	quëdenti	CP	goh	sagen, sprechen, reden	st5											qhuedenti			VVPS	st5	qhuedenti			412	file:///media/vbspace/ddd/data/BenediktinerRegel/10_corrections/B_0.eaf
00:09:46.400	586.4	00:09:47.800	587.8	00:00:01.400	1.4				hiutu					ADV	hiutu	CF_CS	goh	heute												hiutu			ADV		hiutu			413	file:///media/vbspace/ddd/data/BenediktinerRegel/10_corrections/B_0.eaf
00:09:47.800	587.8	00:09:52.400	592.4	00:00:04.600	4.6											CF 																							file:///media/vbspace/ddd/data/BenediktinerRegel/10_corrections/B_0.eaf
00:09:52.800	592.8	00:10:00.200	600.2	00:00:07.400	7.4											CF_CC																							file:///media/vbspace/ddd/data/BenediktinerRegel/10_corrections/B_0.eaf
00:10:00.800	600.8	00:10:02.600	602.6	00:00:01.800	1.8											CE																							file:///media/vbspace/ddd/data/BenediktinerRegel/10_corrections/B_0.eaf
00:10:03.200	603.2	00:10:07.600	607.6	00:00:04.400	4.4											CF_I_Att																							file:///media/vbspace/ddd/data/BenediktinerRegel/10_corrections/B_0.eaf
00:10:08.000	608.0	00:10:09.200	609.2	00:00:01.200	1.2				horen	imp_pres_sg_2				VV	hōri	CF_U_Imp	goh	hören 	wk1a											hoorre			VVIMP	wk1a	hoorre			429	file:///media/vbspace/ddd/data/BenediktinerRegel/10_corrections/B_0.eaf
00:10:09.800	609.8	00:10:15.400	615.4	00:00:05.600	5.6											CF_I_O																							file:///media/vbspace/ddd/data/BenediktinerRegel/10_corrections/B_0.eaf
00:10:15.800	615.8	00:10:19.400	619.4	00:00:03.600	3.6											CF_I_Int																							file:///media/vbspace/ddd/data/BenediktinerRegel/10_corrections/B_0.eaf
00:10:20.000	620.0	00:10:22.600	622.6	00:00:02.600	2.6											CF_U_Imp 																							file:///media/vbspace/ddd/data/BenediktinerRegel/10_corrections/B_0.eaf
00:10:23.000	623.0	00:10:25.200	625.2	00:00:02.200	2.2											CF_U_Imp 																							file:///media/vbspace/ddd/data/BenediktinerRegel/10_corrections/B_0.eaf
00:10:25.400	625.4	00:10:31.200	631.2	00:00:05.800	5.8											CF_U_M 																							file:///media/vbspace/ddd/data/BenediktinerRegel/10_corrections/B_0.eaf
00:10:31.600	631.6	00:10:33.200	633.2	00:00:01.600	1.6				loufan	imp_pres_pl_2				VV	loufet	CF_U_Imp	goh	laufen, eilen, rennen	red2											Hlauffat			VVIMP	red2	Hlauffat			445	file:///media/vbspace/ddd/data/BenediktinerRegel/10_corrections/B_0.eaf
