Begin Time - hh:mm:ss.ms	Begin Time - ss.msec	End Time - hh:mm:ss.ms	End Time - ss.msec	Duration - hh:mm:ss.ms	Duration - ss.msec	R Reim	Tg1a Kapitel	Ms1 Seite	Lemma	M2c Flexion Beleg 2	S2 Stammbaum	Ms2 Zeile	Tg2b Halbvers	Standard W	M1a DDDTS Lemma	S1a Satz	Sprache	Übersetzung	Tg3a Capitulum	M2b Flexion Beleg 1	Ts1 Seite Ed.2	Ts1 Seite Ed.1	Tg Kommentar	Ts1 Seite Ed.3	R Kommentar	Tg1b Unterkapitel	S1b Hierarchie	Referenz	Tg3b Section	Ts2 Zeile Ed.1	Referenztext R	Manuskript W	Ts2 Zeile Ed.2	Ts2 Zeile Ed.3	Tg3c Canon	M1b DDDTS Beleg	M2a Flexion Lemma	Referenztext W	Manuskript R	Lemmanachweis	Tg2a Vers	Identifizierer	File Path
00:03:51.800	231.8	00:03:53.000	233.0	00:00:01.200	1.2		1		er danne					ēr danne	KO	CF_I_Adv_Temp 	goh	ehe, bevor								7		::1230				aer denne				KOUS		aer denne				::1230	file:///media/vbspace/ddd/data/Isidor/9_corrections/I_DeFide_1.eaf
00:03:53.000	233.0	00:03:53.800	233.8	00:00:00.800	0.8		1		ër	fem_sg_dat_3				iru	PPER	CF_I_Adv_Temp 	goh	er, sie, es								7		::1240				iru				PPER		iru				::1240	file:///media/vbspace/ddd/data/Isidor/9_corrections/I_DeFide_1.eaf
00:03:53.800	233.8	00:03:55.400	235.4	00:00:01.600	1.6		1		biquëman	subj_past_sg_3				biquāmi	VV	CF_I_Adv_Temp 	goh	bekommen		st4						7		::1250				biquami				VVFIN	st4	biquami				::1250	file:///media/vbspace/ddd/data/Isidor/9_corrections/I_DeFide_1.eaf
00:03:56.200	236.2	00:03:57.400	237.4	00:00:01.200	1.2		1		gibëran	ind_past_sg_1				gibar	VV	CF_U_M 	goh	gebären		st4						7		::1260				gabar				VVFIN	st4	gabar				::1260	file:///media/vbspace/ddd/data/Isidor/9_corrections/I_DeFide_1.eaf
00:03:57.400	237.4	00:03:59.000	239.0	00:00:01.600	1.6		1		mankund	pos_neut_sg_acc_0				mankund	ADJ	CF_U_M 	goh	männlich		a,o						7		::1270				manchunt				ADJS	a,o	manchunt				::1270	file:///media/vbspace/ddd/data/Isidor/9_corrections/I_DeFide_1.eaf
00:04:00.000	240.0	00:04:00.600	240.6	00:00:00.600	0.6		1		so selbo					sō selbo	ADV	CF_U_M	goh	ebenso								8		::1280				So selbo				ADV		So selbo				::1280	file:///media/vbspace/ddd/data/Isidor/9_corrections/I_DeFide_1.eaf
00:04:00.600	240.6	00:04:01.800	241.8	00:00:01.200	1.2		1		so selbo					sō selbo	ADV	CF_U_M	goh	ebenso								8		::1290				So selbo				ADV		So selbo				::1290	file:///media/vbspace/ddd/data/Isidor/9_corrections/I_DeFide_1.eaf
00:04:01.800	241.8	00:04:02.600	242.6	00:00:00.800	0.8		1		dër	masc_sg_nom				dër	DD	CF_U_M	goh	der, die, das								8		::1300				der				DDA		der				::1300	file:///media/vbspace/ddd/data/Isidor/9_corrections/I_DeFide_1.eaf
00:04:02.600	242.6	00:04:04.400	244.4	00:00:01.800	1.8		1		forasago	sg_nom				forasago	NA	CF_U_M	goh	Prophet		n_masc						8		::1310				forasago				NA	n_masc	forasago				::1310	file:///media/vbspace/ddd/data/Isidor/9_corrections/I_DeFide_1.eaf
00:04:04.400	244.4	00:04:05.800	245.8	00:00:01.400	1.4		1		offano					offano	ADV	CF_U_M	goh	offen, deutlich								8		::1320				offono				ADV		offono				::1320	file:///media/vbspace/ddd/data/Isidor/9_corrections/I_DeFide_1.eaf
